Transaction date,House Age,Distance from nearest Metro station (km),Number of convenience stores,latitude,longitude,Number of bedrooms,House size (sqft),House price of unit area
2013.083,13.3,336.0532,5,24.95776,121.53438,2,1046,42.4
2013.417,11,1931.207,2,24.96365,121.51471,1,450,21.3
2013.500,5.3,259.6607,6,24.97585,121.54516,3,1083,63.2
2012.917,17.2,2175.877,3,24.96303,121.51254,3,1073,27.7
2013.583,2.6,533.4762,4,24.97445,121.54765,2,1309,55
2013.333,17.5,995.7554,0,24.96305,121.54915,2,862,25.3
2013.417,40.1,123.7429,8,24.97635,121.54329,3,1351,44.3
2013.000,1,193.5845,6,24.96571,121.54089,2,1144,50.7
2013.500,8.5,104.8101,5,24.96674,121.54067,2,1425,56.8
2013.417,30.4,464.223,6,24.97964,121.53805,3,1303,36.2
2012.833,12.5,561.9845,5,24.98746,121.54391,1,581,42
2013.583,6.6,90.45606,9,24.97433,121.5431,3,927,59
2013.083,35.5,640.7391,3,24.97563,121.53715,1,533,40.8
2013.583,32.5,424.5442,8,24.97587,121.53913,2,1392,36.3
2013.167,13.8,4082.015,0,24.94155,121.50381,3,1176,20
2012.917,6.8,379.5575,10,24.98343,121.53762,3,1084,54.4
2013.500,12.3,1360.139,1,24.95204,121.54842,1,492,29.5
2013.583,35.9,616.4004,3,24.97723,121.53767,2,1262,36.8
2012.833,20.5,2185.128,3,24.96322,121.51237,2,1308,25.6
2012.917,38.2,552.4371,2,24.97598,121.53381,1,459,29.8
2013.000,18,1414.837,1,24.95182,121.54887,2,958,26.5
2013.500,11.8,533.4762,4,24.97445,121.54765,1,488,40.3
2013.000,30.8,377.7956,6,24.96427,121.53964,1,466,36.8
2013.083,13.2,150.9347,7,24.96725,121.54252,2,1339,48.1
2012.917,25.3,2707.392,3,24.96056,121.50831,3,1186,17.7
2013.083,15.1,383.2805,7,24.96735,121.54464,2,1154,43.7
2012.750,0,338.9679,9,24.96853,121.54413,2,1145,50.8
2012.833,1.8,1455.798,1,24.9512,121.549,1,515,27
2013.583,16.9,4066.587,0,24.94297,121.50342,3,878,18.3
2012.917,8.9,1406.43,0,24.98573,121.52758,2,915,48
2013.500,23,3947.945,0,24.94783,121.50243,1,471,25.3
2012.833,0,274.0144,1,24.9748,121.53059,2,954,45.4
2013.250,9.1,1402.016,0,24.98569,121.5276,1,426,43.2
2012.917,20.6,2469.645,4,24.96108,121.51046,3,1316,21.8
2012.917,31.9,1146.329,0,24.9492,121.53076,1,536,16.1
2012.917,40.9,167.5989,5,24.9663,121.54026,2,984,41
2012.917,8,104.8101,5,24.96674,121.54067,3,1250,51.8
2013.417,6.4,90.45606,9,24.97433,121.5431,3,1158,59.5
2013.083,28.4,617.4424,3,24.97746,121.53299,3,828,34.6
2013.417,16.4,289.3248,5,24.98203,121.54348,3,1323,51
2013.417,6.4,90.45606,9,24.97433,121.5431,1,514,62.2
2013.500,17.5,964.7496,4,24.98872,121.53411,2,926,38.2
2012.833,12.7,170.1289,1,24.97371,121.52984,3,879,32.9
2013.083,1.1,193.5845,6,24.96571,121.54089,3,1028,54.4
2012.750,0,208.3905,6,24.95618,121.53844,1,554,45.7
2012.667,32.7,392.4459,6,24.96398,121.5425,1,471,30.5
2012.833,0,292.9978,6,24.97744,121.54458,1,570,71
2013.083,17.2,189.5181,8,24.97707,121.54308,3,871,47.1
2013.333,12.2,1360.139,1,24.95204,121.54842,3,913,26.6
2013.417,31.4,592.5006,2,24.9726,121.53561,2,945,34.1
2013.583,4,2147.376,3,24.96299,121.51284,2,1044,28.4
2013.083,8.1,104.8101,5,24.96674,121.54067,2,847,51.6
2013.583,33.3,196.6172,7,24.97701,121.54224,2,1136,39.4
2013.417,9.9,2102.427,3,24.96044,121.51462,1,414,23.1
2013.333,14.8,393.2606,6,24.96172,121.53812,2,1365,7.6
2012.667,30.6,143.8383,8,24.98155,121.54142,3,1222,53.3
2013.083,20.6,737.9161,2,24.98092,121.54739,1,441,46.4
2013.000,30.9,6396.283,1,24.94375,121.47883,1,495,12.2
2013.000,13.6,4197.349,0,24.93885,121.50383,3,1207,13
2013.500,25.3,1583.722,3,24.96622,121.51709,1,470,30.6
2013.500,16.6,289.3248,5,24.98203,121.54348,1,548,59.6
2013.167,13.3,492.2313,5,24.96515,121.53737,3,1224,31.3
2013.500,13.6,492.2313,5,24.96515,121.53737,1,443,48
2013.250,31.5,414.9476,4,24.98199,121.54464,3,840,32.5
2013.417,0,185.4296,0,24.9711,121.5317,3,818,45.5
2012.917,9.9,279.1726,7,24.97528,121.54541,1,493,57.4
2013.167,1.1,193.5845,6,24.96571,121.54089,2,952,48.6
2013.083,38.6,804.6897,4,24.97838,121.53477,1,472,62.9
2013.250,3.8,383.8624,5,24.98085,121.54391,2,1136,55
2013.083,41.3,124.9912,6,24.96674,121.54039,1,417,60.7
2013.417,38.5,216.8329,7,24.98086,121.54162,2,1284,41
2013.250,29.6,535.527,8,24.98092,121.53653,3,1190,37.5
2013.500,4,2147.376,3,24.96299,121.51284,1,565,30.7
2013.167,26.6,482.7581,5,24.97433,121.53863,3,1166,37.5
2012.833,18,373.3937,8,24.9866,121.54082,1,406,39.5
2012.667,33.4,186.9686,6,24.96604,121.54211,3,1246,42.2
2012.917,18.9,1009.235,0,24.96357,121.54951,2,1147,20.8
2012.750,11.4,390.5684,5,24.97937,121.54245,1,453,46.8
2013.500,13.6,319.0708,6,24.96495,121.54277,1,429,47.4
2013.167,10,942.4664,0,24.97843,121.52406,3,1340,43.5
2012.667,12.9,492.2313,5,24.96515,121.53737,1,538,42.5
2013.250,16.2,289.3248,5,24.98203,121.54348,1,486,51.4
2013.333,5.1,1559.827,3,24.97213,121.51627,2,1147,28.9
2013.417,19.8,640.6071,5,24.97017,121.54647,1,447,37.5
2013.500,13.6,492.2313,5,24.96515,121.53737,2,1202,40.1
2013.083,11.9,1360.139,1,24.95204,121.54842,3,1336,28.4
2012.917,2.1,451.2438,5,24.97563,121.54694,1,422,45.5
2012.750,0,185.4296,0,24.9711,121.5317,2,1356,52.2
2012.750,3.2,489.8821,8,24.97017,121.54494,1,518,43.2
2013.500,16.4,3780.59,0,24.93293,121.51203,3,975,45.1
2012.667,34.9,179.4538,8,24.97349,121.54245,2,1411,39.7
2013.250,35.8,170.7311,7,24.96719,121.54269,1,540,48.5
2013.500,4.9,387.7721,9,24.98118,121.53788,2,949,44.7
2013.333,12,1360.139,1,24.95204,121.54842,2,1098,28.9
2013.250,6.5,376.1709,6,24.95418,121.53713,2,870,40.9
2013.500,16.9,4066.587,0,24.94297,121.50342,1,532,20.7
2013.167,13.8,4082.015,0,24.94155,121.50381,2,1292,15.6
2013.583,30.7,1264.73,0,24.94883,121.52954,3,1110,18.3
2013.250,16.1,815.9314,4,24.97886,121.53464,1,477,35.6
2013.000,11.6,390.5684,5,24.97937,121.54245,1,461,39.4
2012.667,15.5,815.9314,4,24.97886,121.53464,1,532,37.4
2012.917,3.5,49.66105,8,24.95836,121.53756,2,970,57.8
2013.417,19.2,616.4004,3,24.97723,121.53767,2,1400,39.6
2012.750,16,4066.587,0,24.94297,121.50342,1,469,11.6
2013.500,8.5,104.8101,5,24.96674,121.54067,1,565,55.5
2012.833,0,185.4296,0,24.9711,121.5317,3,1312,55.2
2012.917,13.7,1236.564,1,24.97694,121.55391,3,1494,30.6
2013.417,0,292.9978,6,24.97744,121.54458,3,1448,73.6
2013.417,28.2,330.0854,8,24.97408,121.54011,3,1088,43.4
2013.083,27.6,515.1122,5,24.96299,121.5432,1,580,37.4
2013.417,8.4,1962.628,1,24.95468,121.55481,2,1342,23.5
2013.333,24,4527.687,0,24.94741,121.49628,2,1462,14.4
2013.083,3.6,383.8624,5,24.98085,121.54391,1,411,58.8
2013.583,6.6,90.45606,9,24.97433,121.5431,3,842,58.1
2013.083,41.3,401.8807,4,24.98326,121.5446,3,889,35.1
2013.417,4.3,432.0385,7,24.9805,121.53778,3,1239,45.2
2013.083,30.2,472.1745,3,24.97005,121.53758,1,503,36.5
2012.833,13.9,4573.779,0,24.94867,121.49507,3,1206,19.2
2013.083,33,181.0766,9,24.97697,121.54262,1,542,42
2013.500,13.1,1144.436,4,24.99176,121.53456,2,1490,36.7
2013.083,14,438.8513,1,24.97493,121.5273,1,580,42.6
2012.667,26.9,4449.27,0,24.94898,121.49621,2,1331,15.5
2013.167,11.6,201.8939,8,24.98489,121.54121,3,1482,55.9
2013.500,13.5,2147.376,3,24.96299,121.51284,2,1002,23.6
2013.500,17,4082.015,0,24.94155,121.50381,2,923,18.8
2012.750,14.1,2615.465,0,24.95495,121.56174,1,442,21.8
2012.750,31.4,1447.286,3,24.97285,121.5173,1,516,21.5
2013.167,20.9,2185.128,3,24.96322,121.51237,1,436,25.7
2013.000,8.9,3078.176,0,24.95464,121.56627,3,1175,22
2012.917,34.8,190.0392,8,24.97707,121.54312,1,492,44.3
2012.917,16.3,4066.587,0,24.94297,121.50342,2,996,20.5
2013.500,35.3,616.5735,8,24.97945,121.53642,3,810,42.3
2013.167,13.2,750.0704,2,24.97371,121.54951,2,1256,37.8
2013.167,43.8,57.58945,7,24.9675,121.54069,3,1000,42.7
2013.417,9.7,421.479,5,24.98246,121.54477,2,1089,49.3
2013.500,15.2,3771.895,0,24.93363,121.51158,2,1287,29.3
2013.333,15.2,461.1016,5,24.95425,121.5399,2,1081,34.6
2013.000,22.8,707.9067,2,24.981,121.54713,1,537,36.6
2013.250,34.4,126.7286,8,24.96881,121.54089,1,548,48.2
2013.083,34,157.6052,7,24.96628,121.54196,3,1368,39.1
2013.417,18.2,451.6419,8,24.96945,121.5449,1,458,31.6
2013.417,17.4,995.7554,0,24.96305,121.54915,1,410,25.5
2013.417,13.1,561.9845,5,24.98746,121.54391,2,1339,45.9
2012.917,38.3,642.6985,3,24.97559,121.53713,1,585,31.5
2012.667,15.6,289.3248,5,24.98203,121.54348,1,544,46.1
2013.000,18,1414.837,1,24.95182,121.54887,3,1100,26.6
2013.083,12.8,1449.722,3,24.97289,121.51728,2,945,21.4
2013.250,22.2,379.5575,10,24.98343,121.53762,1,456,44
2013.083,38.5,665.0636,3,24.97503,121.53692,3,1053,34.2
2012.750,11.5,1360.139,1,24.95204,121.54842,1,452,26.2
2012.833,34.8,175.6294,8,24.97347,121.54271,3,1349,40.9
2013.500,5.2,390.5684,5,24.97937,121.54245,3,836,52.2
2013.083,0,274.0144,1,24.9748,121.53059,3,1118,43.5
2013.333,17.6,1805.665,2,24.98672,121.52091,2,1377,31.1
2013.083,6.2,90.45606,9,24.97433,121.5431,2,1354,58
2013.583,18.1,1783.18,3,24.96731,121.51486,1,586,20.9
2013.333,19.2,383.7129,8,24.972,121.54477,1,428,48.1
2013.250,37.8,590.9292,1,24.97153,121.53559,3,1140,39.7
2012.917,28,372.6242,6,24.97838,121.54119,3,1291,40.8
2013.417,13.6,492.2313,5,24.96515,121.53737,2,1455,43.8
2012.750,29.3,529.7771,8,24.98102,121.53655,1,583,40.2
2013.333,37.2,186.5101,9,24.97703,121.54265,2,1187,78.3
2013.333,9,1402.016,0,24.98569,121.5276,1,417,38.5
2013.583,30.6,431.1114,10,24.98123,121.53743,3,1145,48.5
2013.250,9.1,1402.016,0,24.98569,121.5276,2,1270,42.3
2013.333,34.5,324.9419,6,24.97814,121.5417,2,880,46
2013.250,1.1,193.5845,6,24.96571,121.54089,1,462,49
2013.000,16.5,4082.015,0,24.94155,121.50381,1,588,12.8
2012.917,32.4,265.0609,8,24.98059,121.53986,3,1380,40.2
2013.417,11.9,3171.329,0,25.00115,121.51776,2,1204,46.6
2013.583,31,1156.412,0,24.9489,121.53095,1,559,19
2013.500,4,2147.376,3,24.96299,121.51284,1,569,33.4
2012.833,16.2,4074.736,0,24.94235,121.50357,2,1189,14.7
2012.917,27.1,4412.765,1,24.95032,121.49587,2,1140,17.4
2013.333,39.7,333.3679,9,24.98016,121.53932,3,975,32.4
2013.250,8,2216.612,4,24.96007,121.51361,1,494,23.9
2012.750,12.9,250.631,7,24.96606,121.54297,2,1035,39.3
2013.167,3.6,373.8389,10,24.98322,121.53765,3,1117,61.9
2013.167,13,732.8528,0,24.97668,121.52518,1,578,39
2013.083,12.8,732.8528,0,24.97668,121.52518,3,1244,40.6
2013.500,18.1,837.7233,0,24.96334,121.54767,3,1074,29.7
2013.083,11,1712.632,2,24.96412,121.5167,1,421,28.8
2013.500,13.7,250.631,7,24.96606,121.54297,1,492,41.4
2012.833,2,2077.39,3,24.96357,121.51329,3,1189,33.4
2013.417,32.8,204.1705,8,24.98236,121.53923,1,478,48.2
2013.083,4.8,1559.827,3,24.97213,121.51627,3,1262,21.7
2013.417,7.5,639.6198,5,24.97258,121.54814,2,1219,40.8
2013.417,16.4,389.8219,6,24.96412,121.54273,1,506,40.6
2013.333,21.7,1055.067,0,24.96211,121.54928,1,465,23.1
2013.000,19,1009.235,0,24.96357,121.54951,2,1123,22.3
2012.833,18,6306.153,1,24.95743,121.47516,2,1439,15
2013.167,39.2,424.7132,7,24.97429,121.53917,1,420,30
2012.917,31.7,1159.454,0,24.9496,121.53018,2,970,13.8
2012.833,5.9,90.45606,9,24.97433,121.5431,3,1164,52.7
2012.667,30.4,1735.595,2,24.96464,121.51623,2,1120,25.9
2012.667,1.1,329.9747,5,24.98254,121.54395,2,965,51.8
2013.417,31.5,5512.038,1,24.95095,121.48458,2,1368,17.4
2012.667,14.6,339.2289,1,24.97519,121.53151,2,1154,26.5
2013.250,17.3,444.1334,1,24.97501,121.5273,2,1388,43.9
2013.417,0,292.9978,6,24.97744,121.54458,2,1205,63.3
2013.083,17.7,837.7233,0,24.96334,121.54767,3,1013,28.8
2013.250,17,1485.097,4,24.97073,121.517,1,513,30.7
2013.167,16.2,2288.011,3,24.95885,121.51359,1,453,24.4
2012.917,15.9,289.3248,5,24.98203,121.54348,1,590,53
2013.417,3.9,2147.376,3,24.96299,121.51284,1,475,31.7
2013.167,32.6,493.657,7,24.96968,121.54522,3,949,40.6
2012.833,15.7,815.9314,4,24.97886,121.53464,3,1395,38.1
2013.250,17.8,1783.18,3,24.96731,121.51486,2,1423,23.7
2012.833,34.7,482.7581,5,24.97433,121.53863,3,847,41.1
2013.417,17.2,390.5684,5,24.97937,121.54245,2,844,40.1
2013.000,17.6,837.7233,0,24.96334,121.54767,1,541,23
2013.333,10.8,252.5822,1,24.9746,121.53046,2,1373,117.5
2012.917,17.7,451.6419,8,24.96945,121.5449,3,978,26.5
2012.750,13,492.2313,5,24.96515,121.53737,3,890,40.5
2013.417,13.2,170.1289,1,24.97371,121.52984,2,1299,29.3
2013.167,27.5,394.0173,7,24.97305,121.53994,1,544,41
2012.667,1.5,23.38284,7,24.96772,121.54102,3,1385,49.7
2013.000,19.1,461.1016,5,24.95425,121.5399,2,1315,34
2013.417,21.2,2185.128,3,24.96322,121.51237,3,1318,27.7
2012.750,0,208.3905,6,24.95618,121.53844,2,1448,44
2013.417,2.6,1554.25,3,24.97026,121.51642,1,440,31.1
2013.250,2.3,184.3302,6,24.96581,121.54086,2,1034,45.4
2013.333,4.7,387.7721,9,24.98118,121.53788,1,539,44.8
2012.917,2,1455.798,1,24.9512,121.549,3,1154,25.6
2013.417,33.5,1978.671,2,24.98674,121.51844,2,897,23.5
2012.917,15,383.2805,7,24.96735,121.54464,1,533,34.4
2013.167,30.1,718.2937,3,24.97509,121.53644,3,1470,55.3
2012.917,5.9,90.45606,9,24.97433,121.5431,1,436,56.3
2013.000,19.2,461.1016,5,24.95425,121.5399,2,1469,32.9
2013.583,16.6,323.6912,6,24.97841,121.5428,1,439,51
2013.333,13.9,289.3248,5,24.98203,121.54348,2,1446,44.5
2013.083,37.7,490.3446,0,24.97217,121.53471,3,1194,37
2012.833,3.4,56.47425,7,24.95744,121.53711,3,1208,54.4
2013.083,17.5,395.6747,5,24.95674,121.534,2,876,24.5
2012.667,12.6,383.2805,7,24.96735,121.54464,2,927,42.5
2013.500,26.4,335.5273,6,24.9796,121.5414,3,1330,38.1
2013.167,18.2,2179.59,3,24.96299,121.51252,3,899,21.8
2012.750,12.5,1144.436,4,24.99176,121.53456,1,585,34.1
2012.833,34.9,567.0349,4,24.97003,121.5458,2,1358,28.5
2013.333,16.7,4082.015,0,24.94155,121.50381,2,1379,16.7
2013.167,33.2,121.7262,10,24.98178,121.54059,3,1297,46.1
2013.083,2.5,156.2442,4,24.96696,121.53992,1,543,36.9
2012.750,38,461.7848,0,24.97229,121.53445,1,498,35.7
2013.500,16.5,2288.011,3,24.95885,121.51359,3,1054,23.2
2013.500,38.3,439.7105,0,24.97161,121.53423,2,1144,38.4
2013.417,20,1626.083,3,24.96622,121.51668,3,970,29.4
2013.083,16.2,289.3248,5,24.98203,121.54348,2,914,55
2013.500,14.4,169.9803,1,24.97369,121.52979,3,1305,50.2
2012.833,10.3,3079.89,0,24.9546,121.56627,2,812,24.7
2013.417,16.4,289.3248,5,24.98203,121.54348,1,490,53
2013.250,30.3,1264.73,0,24.94883,121.52954,1,554,19.1
2013.583,16.4,1643.499,2,24.95394,121.55174,3,886,24.7
2013.167,21.3,537.7971,4,24.97425,121.53814,2,876,42.2
2013.583,35.4,318.5292,9,24.97071,121.54069,1,433,78
2013.333,8.3,104.8101,5,24.96674,121.54067,3,952,42.8
2013.250,3.7,577.9615,6,24.97201,121.54722,2,1491,41.6
2013.083,15.6,1756.411,2,24.9832,121.51812,2,924,27.3
2013.250,13.3,250.631,7,24.96606,121.54297,2,1307,42
2012.750,15.6,752.7669,2,24.97795,121.53451,1,548,37.5
2013.333,7.1,379.5575,10,24.98343,121.53762,3,1407,49.8
2013.250,34.6,272.6783,5,24.95562,121.53872,1,402,26.9
2012.750,13.5,4197.349,0,24.93885,121.50383,2,1222,18.6
2012.917,16.9,964.7496,4,24.98872,121.53411,2,1235,37.7
2013.000,12.9,187.4823,1,24.97388,121.52981,1,480,33.1
2013.417,28.6,197.1338,6,24.97631,121.54436,1,594,42.5
2012.667,12.4,1712.632,2,24.96412,121.5167,2,1124,31.3
2013.083,36.6,488.8193,8,24.97015,121.54494,2,1166,38.1
2013.500,4.1,56.47425,7,24.95744,121.53711,1,470,62.1
2013.417,3.5,757.3377,3,24.97538,121.54971,2,1343,36.7
2012.833,15.9,1497.713,3,24.97003,121.51696,1,506,23.6
2013.000,13.6,4197.349,0,24.93885,121.50383,1,458,19.2
2013.083,32,1156.777,0,24.94935,121.53046,3,970,12.8
2013.333,25.6,4519.69,0,24.94826,121.49587,1,426,15.6
2013.167,39.8,617.7134,2,24.97577,121.53475,2,1491,39.6
2012.750,7.8,104.8101,5,24.96674,121.54067,3,1498,38.4
2012.917,30,1013.341,5,24.99006,121.5346,1,484,22.8
2013.583,27.3,337.6016,6,24.96431,121.54063,2,1337,36.5
2012.833,5.1,1867.233,2,24.98407,121.51748,3,817,35.6
2012.833,31.3,600.8604,5,24.96871,121.54651,2,1333,30.9
2012.917,31.5,258.186,9,24.96867,121.54331,1,540,36.3
2013.333,1.7,329.9747,5,24.98254,121.54395,3,1173,50.4
2013.333,33.6,270.8895,0,24.97281,121.53265,3,1031,42.9
2013.000,13,750.0704,2,24.97371,121.54951,3,800,37
2012.667,5.7,90.45606,9,24.97433,121.5431,1,492,53.5
2013.000,33.5,563.2854,8,24.98223,121.53597,3,1284,46.6
2013.500,34.6,3085.17,0,24.998,121.5155,3,1012,41.2
2012.667,0,185.4296,0,24.9711,121.5317,2,839,37.9
2013.417,13.2,1712.632,2,24.96412,121.5167,3,1400,30.8
2013.583,17.4,6488.021,1,24.95719,121.47353,3,933,11.2
2012.833,4.6,259.6607,6,24.97585,121.54516,3,1183,53.7
2012.750,7.8,104.8101,5,24.96674,121.54067,2,889,47
2013.000,13.2,492.2313,5,24.96515,121.53737,2,1146,42.3
2012.833,4,2180.245,3,24.96324,121.51241,1,524,28.6
2012.833,18.4,2674.961,3,24.96143,121.50827,2,1007,25.7
2013.500,4.1,2147.376,3,24.96299,121.51284,2,901,31.3
2013.417,12.2,1360.139,1,24.95204,121.54842,3,1343,30.1
2013.250,3.8,383.8624,5,24.98085,121.54391,1,493,60.7
2012.833,10.3,211.4473,1,24.97417,121.52999,1,424,45.3
2013.417,0,338.9679,9,24.96853,121.54413,3,1319,44.9
2013.167,1.1,193.5845,6,24.96571,121.54089,2,1021,45.1
2013.500,5.6,2408.993,0,24.95505,121.55964,2,876,24.7
2012.667,32.9,87.30222,10,24.983,121.54022,3,1071,47.1
2013.083,41.4,281.205,8,24.97345,121.54093,1,533,63.3
2013.417,17.1,967.4,4,24.98872,121.53408,1,550,40
2013.500,32.3,109.9455,10,24.98182,121.54086,2,1135,48
2013.417,35.3,614.1394,7,24.97913,121.53666,3,1369,33.1
2012.917,17.3,2261.432,4,24.96182,121.51222,1,565,29.5
2012.750,14.2,1801.544,1,24.95153,121.55254,1,589,24.8
2012.833,15,1828.319,2,24.96464,121.51531,3,840,20.9
2013.417,18.2,350.8515,1,24.97544,121.53119,3,1246,43.1
2012.667,20.2,2185.128,3,24.96322,121.51237,3,1350,22.8
2012.750,15.9,289.3248,5,24.98203,121.54348,2,1060,42.1
2013.500,4.1,312.8963,5,24.95591,121.53956,2,864,51.7
2013.000,33.9,157.6052,7,24.96628,121.54196,1,570,41.5
2013.083,0,274.0144,1,24.9748,121.53059,2,1172,52.2
2013.250,5.4,390.5684,5,24.97937,121.54245,3,1057,49.5
2013.250,21.7,1157.988,0,24.96165,121.55011,3,1276,23.8
2013.417,14.7,1717.193,2,24.96447,121.51649,3,984,30.5
2013.333,3.9,49.66105,8,24.95836,121.53756,3,1325,56.8
2013.333,37.3,587.8877,8,24.97077,121.54634,2,1040,37.4
2013.333,0,292.9978,6,24.97744,121.54458,3,1410,69.7
2013.333,14.1,289.3248,5,24.98203,121.54348,2,1149,53.3
2013.417,8,132.5469,9,24.98298,121.53981,3,1451,47.3
2013.000,16.3,3529.564,0,24.93207,121.51597,1,411,29.3
2012.667,29.1,506.1144,4,24.97845,121.53889,2,1130,40.3
2012.750,16.1,4066.587,0,24.94297,121.50342,2,1500,12.9
2013.000,18.3,82.88643,10,24.983,121.54026,3,839,46.6
2012.833,0,185.4296,0,24.9711,121.5317,1,565,55.3
2013.250,16.2,2103.555,3,24.96042,121.51462,2,1405,25.6
2013.500,10.4,2251.938,4,24.95957,121.51353,1,505,27.3
2013.250,40.9,122.3619,8,24.96756,121.5423,1,579,67.7
2013.500,32.8,377.8302,9,24.97151,121.5435,2,1438,38.6
2013.583,6.2,1939.749,1,24.95155,121.55387,3,1494,31.3
2013.083,42.7,443.802,6,24.97927,121.53874,3,1234,35.3
2013.000,16.9,967.4,4,24.98872,121.53408,1,413,40.3
2013.500,32.6,4136.271,1,24.95544,121.4963,1,421,24.7
2012.917,21.2,512.5487,4,24.974,121.53842,3,1088,42.5
2012.667,37.1,918.6357,1,24.97198,121.55063,2,907,31.9
2013.417,13.1,1164.838,4,24.99156,121.53406,3,1230,32.2
2013.417,14.7,1717.193,2,24.96447,121.51649,1,425,23
2012.917,12.7,170.1289,1,24.97371,121.52984,1,489,37.3
2013.250,26.8,482.7581,5,24.97433,121.53863,3,964,35.5
2013.083,7.6,2175.03,3,24.96305,121.51254,2,1247,27.7
2012.833,12.7,187.4823,1,24.97388,121.52981,1,537,28.5
2012.667,30.9,161.942,9,24.98353,121.53966,1,549,39.7
2013.333,16.4,289.3248,5,24.98203,121.54348,2,1420,41.2
2012.667,23,130.9945,6,24.95663,121.53765,3,808,37.2
2013.167,1.9,372.1386,7,24.97293,121.54026,2,1268,40.5
2013.000,5.2,2408.993,0,24.95505,121.55964,1,587,22.3
2013.417,18.5,2175.744,3,24.9633,121.51243,1,477,28.1
